EmployeeID,EmployeeName,Gender,Department,JobTitle
E0002,Phan Thị Vinh,Nam,Sản xuất,Giám sát ca
E0091,Phan Văn Trang,Nữ,Sản xuất,Giám sát ca
E0018,Đỗ Thanh Vinh,Nam,Sản xuất,Giám sát ca
E0134,Huỳnh Văn Anh,Nữ,Kho vận,Nhân viên kho
E0019,Võ Thị Phương,Nữ,Kiểm định chất lượng,Chuyên viên QC
E0161,Đặng Đức My,Nữ,Sản xuất,Công nhân
E0032,Bùi Hoàng Thắng,Nam,Kiểm định chất lượng,Chuyên viên QC
E0227,Lê Ngọc Dũng,Nam,Hành chính,Nhân sự
E0191,Nguyễn Hoàng Thắng,Nam,Sản xuất,Giám sát ca
E0056,Hoàng Minh Anh,Nữ,Kiểm định chất lượng,Chuyên viên QC
E0040,Đỗ Đức Cường,Nam,Sản xuất,Tổ trưởng chuyền
E0089,Nguyễn Hoàng Vy,Nữ,Bảo trì,Kỹ thuật viên
E0221,Hoàng Hữu My,Nữ,Kiểm định chất lượng,Nhân viên QC
E0174,Vũ Ngọc Sơn,Nam,Sản xuất,Tổ trưởng chuyền
E0291,Hồ Minh Ngọc,Nữ,Kiểm định chất lượng,Chuyên viên QC
E0125,Huỳnh Ngọc Bình,Nam,Kho vận,Nhân viên kho
E0271,Phan Thanh Cường,Nam,Sản xuất,Tổ trưởng chuyền
E0090,Lê Minh Khánh,Nam,Kiểm định chất lượng,Nhân viên QC
E0189,Phan Đức Hải,Nam,Sản xuất,Công nhân
E0094,Phan Đức Vinh,Nam,Sản xuất,Công nhân
E0158,Phạm Hữu Anh,Nữ,Sản xuất,Công nhân
E0208,Đặng Thị My,Nữ,Bảo trì,Thợ máy
E0115,Vũ Văn Mai,Nữ,Sản xuất,Công nhân
E0012,Võ Hoàng Khánh,Nữ,Kiểm định chất lượng,Chuyên viên QC
E0175,Vũ Thị Quang,Nam,Sản xuất,Giám sát ca
E0020,Phan Đức Minh,Nam,Bảo trì,Thợ máy
E0173,Lê Hữu Hương,Nữ,Kiểm định chất lượng,Chuyên viên QC
E0254,Nguyễn Minh Nam,Nam,Kho vận,Lái xe nâng
E0149,Phạm Văn Cường,Nam,Kho vận,Lái xe nâng
E0052,Nguyễn Minh Thắng,Nam,Bảo trì,Kỹ thuật viên
E0237,Võ Đức Dũng,Nam,Kho vận,Nhân viên kho
E0088,Bùi Minh Như,Nữ,Bảo trì,Kỹ thuật viên
E0102,Bùi Minh Nam,Nam,Hành chính,Kế toán
E0256,Trần Thị Giang,Nữ,Sản xuất,Công nhân
E0248,Hồ Văn Hải,Nam,Hành chính,Kế toán
E0232,Hoàng Văn Dũng,Nam,Kho vận,Lái xe nâng
E0113,Vũ Thị Thắng,Nam,Sản xuất,Công nhân
E0120,Lê Minh Phúc,Nam,Kiểm định chất lượng,Chuyên viên QC
E0159,Hoàng Minh Dũng,Nam,Sản xuất,Giám sát ca
E0195,Trần Thanh Hạnh,Nữ,Kiểm định chất lượng,Nhân viên QC
E0100,Bùi Hoàng Thắng,Nam,Kho vận,Nhân viên kho
E0053,Đỗ Minh Anh,Nam,Kho vận,Nhân viên kho
E0126,Đỗ Văn Khánh,Nữ,Sản xuất,Giám sát ca
E0060,Phan Thị Thắng,Nam,Sản xuất,Tổ trưởng chuyền
E0179,Hoàng Minh Minh,Nam,Sản xuất,Công nhân
E0087,Hồ Thị Thảo,Nữ,Bảo trì,Kỹ thuật viên
E0051,Phan Đức Vinh,Nam,Sản xuất,Giám sát ca
E0038,Trần Đức Khánh,Nam,Sản xuất,Giám sát ca
E0099,Đỗ Hữu Phương,Nữ,Sản xuất,Công nhân
E0103,Nguyễn Hữu Linh,Nữ,Sản xuất,Công nhân
E0005,Nguyễn Hoàng Quang,Nam,Bảo trì,Kỹ thuật viên
E0200,Nguyễn Văn Mai,Nữ,Hành chính,Nhân sự
E0242,Hoàng Hữu Hùng,Nam,Sản xuất,Công nhân
E0219,Trần Ngọc Mai,Nữ,Kiểm định chất lượng,Chuyên viên QC
E0136,Đỗ Văn Vinh,Nam,Sản xuất,Tổ trưởng chuyền
E0194,Đỗ Minh Chi,Nữ,Bảo trì,Kỹ thuật viên
E0267,Đặng Văn Giang,Nữ,Sản xuất,Công nhân
E0097,Trần Thị Thảo,Nữ,Bảo trì,Kỹ thuật viên
E0146,Đặng Văn Đạt,Nam,Kiểm định chất lượng,Chuyên viên QC
E0166,Đặng Thị Thảo,Nữ,Sản xuất,Giám sát ca
E0128,Đỗ Đức Sơn,Nam,Kiểm định chất lượng,Nhân viên QC
